title,category,description,skills,salaryRange,roadmap,logical,creative,technical,social,leadership
Excise Officer,Government,Career focused on government with real-world impact.,Policy|Administration|Law|Public Service,5-10 LPA,Prepare exams|Subject mastery|Field training|Service role,6,4,4,6,8
Intelligence Officer,Technology,Career focused on technology with real-world impact.,Programming|Problem Solving|Systems|Data Literacy,6-12 LPA,Learn programming|Projects|Internship|Specialize,7,4,9,3,4
Fire Officer,Healthcare,Career focused on healthcare with real-world impact.,Biology|Empathy|Diagnostics|Communication,7-14 LPA,Pre-reqs|Clinical training|Certification|Practice,7,4,5,9,5
Panchayat Secretary,Law,Career focused on law with real-world impact.,Legal Research|Writing|Advocacy|Negotiation,8-16 LPA,Law basics|Internship|Court practice|Specialize,6,5,3,6,8
District Collector,Media,Career focused on media with real-world impact.,Communication|Storytelling|Editing|Creativity,9-18 LPA,Practice content|Portfolio|Internship|Publish,3,8,4,7,3
Sub-Divisional Officer,Business,Career focused on business with real-world impact.,Strategy|Communication|Analytics|Stakeholder Management,10-14 LPA,Learn business|Projects|Internship|Role growth,7,4,5,8,6
Tehsildar,Education,Career focused on education with real-world impact.,Teaching|Communication|Patience|Assessment,11-16 LPA,Learn pedagogy|Practice teaching|Certification|Classroom,4,6,3,8,6
Land Records Officer,Art,Career focused on art with real-world impact.,Creativity|Design|Visual Thinking|Tool Mastery,2-8 LPA,Learn basics|Master tools|Build portfolio|Internship/Projects,2,9,4,4,2
Protocol Officer,Science,Career focused on science with real-world impact.,Research|Data Analysis|Critical Thinking|Lab Skills,3-10 LPA,Learn fundamentals|Lab projects|Publish/Present|Advanced studies,9,3,6,5,3
Disaster Management Officer,Banking,Career focused on banking with real-world impact.,Accounting|Finance|Excel|Risk Analysis,4-12 LPA,Learn finance basics|Certifications|Internship|Analyst role,7,4,5,4,5
Public Information Officer,Government,Career focused on government with real-world impact.,Policy|Administration|Law|Public Service,5-14 LPA,Prepare exams|Subject mastery|Field training|Service role,6,3,5,6,7
Registry Officer,Technology,Career focused on technology with real-world impact.,Programming|Problem Solving|Systems|Data Literacy,6-10 LPA,Learn programming|Projects|Internship|Specialize,8,4,9,4,4
Census Officer,Healthcare,Career focused on healthcare with real-world impact.,Biology|Empathy|Diagnostics|Communication,7-12 LPA,Pre-reqs|Clinical training|Certification|Practice,6,5,5,8,6
Planning Officer,Law,Career focused on law with real-world impact.,Legal Research|Writing|Advocacy|Negotiation,8-14 LPA,Law basics|Internship|Court practice|Specialize,6,4,4,6,7
Software Developer,Media,Career focused on media with real-world impact.,Communication|Storytelling|Editing|Creativity,9-16 LPA,Practice content|Portfolio|Internship|Publish,4,8,3,8,3
Data Engineer,Business,Career focused on business with real-world impact.,Strategy|Communication|Analytics|Stakeholder Management,10-18 LPA,Learn business|Projects|Internship|Role growth,6,5,5,7,7
Cybersecurity Analyst,Education,Career focused on education with real-world impact.,Teaching|Communication|Patience|Assessment,11-20 LPA,Learn pedagogy|Practice teaching|Certification|Classroom,4,5,4,8,5
Cloud Engineer,Art,Career focused on art with real-world impact.,Creativity|Design|Visual Thinking|Tool Mastery,2-6 LPA,Learn basics|Master tools|Build portfolio|Internship/Projects,3,9,3,5,2
Mobile App Developer,Science,Career focused on science with real-world impact.,Research|Data Analysis|Critical Thinking|Lab Skills,3-8 LPA,Learn fundamentals|Lab projects|Publish/Present|Advanced studies,8,4,6,4,4
DevOps Engineer,Banking,Career focused on banking with real-world impact.,Accounting|Finance|Excel|Risk Analysis,4-10 LPA,Learn finance basics|Certifications|Internship|Analyst role,7,3,6,4,4
AI Engineer,Government,Career focused on government with real-world impact.,Policy|Administration|Law|Public Service,5-12 LPA,Prepare exams|Subject mastery|Field training|Service role,7,3,4,7,7
ML Engineer,Technology,Career focused on technology with real-world impact.,Programming|Problem Solving|Systems|Data Literacy,6-14 LPA,Learn programming|Projects|Internship|Specialize,7,5,9,3,5
Backend Engineer,Healthcare,Career focused on healthcare with real-world impact.,Biology|Empathy|Diagnostics|Communication,7-16 LPA,Pre-reqs|Clinical training|Certification|Practice,6,4,6,8,5
Frontend Engineer,Law,Career focused on law with real-world impact.,Legal Research|Writing|Advocacy|Negotiation,8-12 LPA,Law basics|Internship|Court practice|Specialize,7,4,3,7,7
Full Stack Developer,Media,Career focused on media with real-world impact.,Communication|Storytelling|Editing|Creativity,9-14 LPA,Practice content|Portfolio|Internship|Publish,3,9,3,7,4
QA Engineer,Business,Career focused on business with real-world impact.,Strategy|Communication|Analytics|Stakeholder Management,10-16 LPA,Learn business|Projects|Internship|Role growth,6,4,6,7,6
Database Administrator,Education,Career focused on education with real-world impact.,Teaching|Communication|Patience|Assessment,11-18 LPA,Learn pedagogy|Practice teaching|Certification|Classroom,5,5,3,9,5
